,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
3.200000,135.206085,65.850708,2579.932617,-0.091248,0.020794,0.003202,1
3.212000,135.203491,65.850174,2579.903564,-0.074961,-0.032233,-0.006104,1
3.225000,135.206894,65.849495,2579.928711,0.010426,-0.077906,0.001104,1
3.237000,135.207550,65.847054,2579.952637,-0.087682,-0.066286,0.003781,1
3.250000,135.207260,65.850952,2579.943848,-0.045475,0.014662,0.003195,1
3.262000,135.203201,65.851639,2579.946533,-0.061580,-0.017320,0.001171,1
3.275000,135.203949,65.847603,2579.929443,-0.048491,-0.022826,0.001802,1
3.287000,135.203583,65.846596,2579.927979,-0.076769,-0.002335,0.002118,1
3.300000,135.207199,65.849991,2579.917236,-0.053853,0.042343,0.004834,1
3.312000,135.208206,65.848007,2579.915527,-0.068720,-0.037779,0.002597,1
3.325000,135.204239,65.852928,2579.910645,-0.025457,-0.017856,0.004910,1
3.337000,135.208694,65.852287,2579.932373,-0.124659,-0.004660,0.002649,1
3.350000,135.205673,65.846214,2579.917969,-0.039045,0.019191,0.005817,1
3.362000,135.207474,65.851456,2579.922852,-0.007455,-0.017464,-0.002700,1
3.375000,135.208817,65.851234,2579.919189,-0.082514,-0.036514,-0.001066,1
3.387000,135.208328,65.850494,2579.932861,-0.052374,0.062480,0.004112,1
3.400000,135.203964,65.850960,2579.948242,-0.022561,0.056763,0.005036,1
3.412000,135.205231,65.851982,2579.919922,0.038467,-0.024309,0.004206,1
3.425000,135.204025,65.849159,2579.933838,-0.019234,0.010233,0.009148,1
3.437000,135.209839,65.847305,2579.933350,-0.078581,-0.045234,-0.004823,1
3.450000,135.205566,65.848724,2579.944336,-0.082667,0.013209,0.003997,1
3.462000,135.202988,65.852219,2579.917969,-0.078210,0.013249,0.003301,1
3.475000,135.205185,65.849739,2579.926270,-0.105572,0.017397,0.004888,1
3.487000,135.206360,65.849533,2579.928711,-0.097719,0.013023,0.004851,1
3.500000,135.205215,65.847496,2579.924805,-0.048956,0.025980,-0.005355,1
3.512000,135.209503,65.848373,2579.933594,-0.042126,-0.038057,0.006866,1
3.525000,135.204926,65.853149,2579.925293,-0.097928,0.055932,0.002254,1
3.537000,135.206818,65.849854,2579.916504,-0.083419,-0.060062,0.000597,1
3.550000,135.207367,65.846573,2579.917236,-0.004839,-0.049888,0.000544,1
3.562000,135.207031,65.852463,2579.919434,0.001390,-0.033112,0.012859,1
3.575000,135.203323,65.853294,2579.929932,-0.040933,-0.056523,0.008090,1
3.587000,135.206192,65.847992,2579.940918,-0.080130,-0.054433,-0.001266,1
3.600000,135.207443,65.844513,2579.932617,-0.018903,0.040305,0.009510,1
3.612000,135.206909,65.854637,2579.914307,-0.028649,0.012076,0.002316,1
3.625000,135.204712,65.848701,2579.924072,-0.048048,-0.004240,0.006294,1
3.637000,135.205826,65.852875,2579.900635,-0.039423,0.030439,0.010449,1
3.650000,135.204269,65.851990,2579.923096,-0.053336,-0.050568,0.006985,1
3.662000,135.206619,65.844353,2579.935547,-0.023852,-0.016791,0.008061,1
3.675000,135.205612,65.850990,2579.927246,-0.027256,0.022169,0.003688,1
3.687000,135.206589,65.848419,2579.933105,-0.078582,0.031743,0.001518,1
3.700000,135.205734,65.849442,2579.930664,-0.052798,-0.037527,0.007270,1
3.712000,135.206970,65.848541,2579.914307,-0.031758,0.037299,-0.003015,1
3.725000,135.205688,65.850258,2579.926270,0.008113,-0.022862,0.012572,1
3.737000,135.205154,65.847763,2579.920898,0.016158,0.039993,0.010444,1
3.750000,135.207855,65.848488,2579.937500,-0.078265,0.048716,0.004754,1
3.762000,135.204514,65.849365,2579.919434,-0.072106,-0.030969,0.001936,1
