,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
2.837000,-165.840393,62.012787,2855.774902,22.821035,-10.477257,-8.668898,1
2.850000,-165.839462,62.010273,2855.782959,22.776112,-10.464931,-8.663470,1
2.862000,-165.838150,62.008881,2855.745605,22.858990,-10.492548,-8.662306,1
2.875000,-165.837418,62.013783,2855.739014,22.776712,-10.442116,-8.673419,1
2.887000,-165.841919,62.011742,2855.762207,22.856903,-10.470772,-8.667200,1
2.900000,-165.842377,62.011585,2855.783691,22.801325,-10.451629,-8.668705,1
2.912000,-165.841553,62.006310,2855.771484,22.790983,-10.436270,-8.664904,1
2.925000,-165.840698,62.012379,2855.747559,22.810511,-10.338540,-8.656519,1
2.937000,-165.839737,62.014805,2855.776611,22.886183,-10.440835,-8.655995,1
2.950000,-165.840118,62.009640,2855.768799,22.805792,-10.472124,-8.675609,1
2.962000,-165.838120,62.011551,2855.734131,22.776552,-10.430152,-8.671925,1
2.975000,-165.838699,62.009636,2855.746826,22.861464,-10.419046,-8.656904,1
2.987000,-165.839844,62.011562,2855.751221,22.785925,-10.475023,-8.669219,1
3.000000,-165.839432,62.011127,2855.754150,22.834839,-10.547470,-8.669457,1
3.012000,-165.840561,62.011436,2855.777100,22.754635,-10.496831,-8.667953,1
3.025000,-165.841980,62.012070,2855.781250,22.847908,-10.501141,-8.664227,1
3.037000,-165.838455,62.010803,2855.749756,22.850307,-10.444945,-8.668216,1
3.050000,-165.839279,62.012714,2855.769775,22.827347,-10.486231,-8.666781,1
3.062000,-165.840652,62.011288,2855.757568,22.827250,-10.437961,-8.654499,1
3.075000,-165.838821,62.008038,2855.750732,22.886683,-10.467036,-8.650358,1
3.087000,-165.841827,62.011028,2855.764160,22.881386,-10.490285,-8.663019,1
3.100000,-165.839828,62.013302,2855.741455,22.894846,-10.459229,-8.651210,1
3.112000,-165.836456,62.012478,2855.768799,22.871778,-10.443092,-8.654963,1
3.125000,-165.831421,62.010525,2855.739746,22.901747,-10.513330,-8.655920,1
3.137000,-165.840530,62.008221,2855.757324,22.809652,-10.488342,-8.668212,1
3.150000,-165.840240,62.007767,2855.766602,22.879192,-10.463758,-8.663774,1
3.162000,-165.838257,62.010925,2855.763184,22.773182,-10.464287,-8.669209,1
3.175000,-165.838440,62.014278,2855.749756,22.811682,-10.480989,-8.658520,1
3.187000,-165.838089,62.008488,2855.761230,22.789928,-10.472606,-8.666011,1
3.200000,-165.840561,62.013901,2855.756348,22.847939,-10.437574,-8.655455,1
3.212000,-165.841827,62.007248,2855.762695,22.830469,-10.480904,-8.656928,1
3.225000,-165.837189,62.010765,2855.772705,22.895126,-10.467398,-8.657735,1
3.237000,-165.840485,62.008198,2855.756104,22.751289,-10.407342,-8.665170,1
3.250000,-165.838348,62.009651,2855.738281,22.762091,-10.458526,-8.667645,1
3.262000,-165.839905,62.009869,2855.756836,22.818785,-10.393469,-8.652917,1
3.275000,-165.836182,62.012417,2855.770264,22.746426,-10.393939,-8.662166,1
3.287000,-165.837234,62.011539,2855.765137,22.793814,-10.504116,-8.670854,1
3.300000,-165.840088,62.015976,2855.748291,22.764666,-10.496021,-8.670142,1
3.312000,-165.838867,62.007927,2855.749268,22.828506,-10.507821,-8.668241,1
3.325000,-165.840393,62.008793,2855.769043,22.766365,-10.476423,-8.675290,1
3.337000,-165.839569,62.006218,2855.769287,22.817158,-10.458311,-8.664558,1
3.350000,-165.839615,62.009850,2855.740723,22.799423,-10.515012,-8.667470,1
3.362000,-165.834747,62.009464,2855.754883,22.849998,-10.507458,-8.666512,1
