 X, Y, Z,Yaw,Pitch, Roll
17.827,33.969,4.266,-88.1213,-0.7376,-0.4727
17.824,33.97,4.266,-88.1123,-0.7385,-0.472
17.822,33.97,4.265,-88.1033,-0.7395,-0.4712
17.818,33.972,4.265,-88.0944,-0.7405,-0.4705
17.815,33.972,4.265,-88.0855,-0.7415,-0.4698
17.813,33.973,4.264,-88.0766,-0.7425,-0.4691
17.81,33.974,4.264,-88.0677,-0.7435,-0.4683
17.806,33.976,4.263,-88.0588,-0.7444,-0.4676
17.803,33.976,4.263,-88.0499,-0.7454,-0.4669
17.8,33.977,4.263,-88.041,-0.7464,-0.4661
17.797,33.978,4.262,-88.0321,-0.7473,-0.4654
17.794,33.98,4.262,-88.0233,-0.7483,-0.4647
17.791,33.981,4.261,-88.0144,-0.7492,-0.464
17.787,33.982,4.261,-88.0056,-0.7502,-0.4632
17.785,33.983,4.261,-87.9968,-0.7512,-0.4625
17.781,33.984,4.26,-87.9879,-0.7521,-0.4618
17.778,33.985,4.26,-87.9791,-0.7531,-0.4611
17.776,33.985,4.26,-87.9703,-0.7541,-0.4604
17.772,33.987,4.259,-87.9615,-0.7551,-0.4597
17.769,33.987,4.259,-87.9528,-0.756,-0.4589
17.767,33.988,4.258,-87.944,-0.757,-0.4582
17.763,33.99,4.258,-87.9352,-0.758,-0.4575
17.76,33.99,4.258,-87.9265,-0.7589,-0.4568
17.757,33.991,4.257,-87.9177,-0.7599,-0.4561
17.754,33.992,4.257,-87.909,-0.7609,-0.4554
17.751,33.994,4.257,-87.9002,-0.7618,-0.4547
17.748,33.994,4.256,-87.8915,-0.7628,-0.454
17.745,33.995,4.256,-87.8828,-0.7637,-0.4533
17.742,33.996,4.255,-87.8741,-0.7647,-0.4526
17.739,33.997,4.255,-87.8654,-0.7657,-0.4519
17.736,33.998,4.254,-87.8567,-0.7666,-0.4512
17.733,33.999,4.254,-87.8481,-0.7676,-0.4505
17.73,34,4.254,-87.8394,-0.7685,-0.4498
17.727,34.001,4.253,-87.8307,-0.7695,-0.4491
17.724,34.002,4.253,-87.8221,-0.7704,-0.4484
