,polo,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
9.430000,153.390762,-89.917290,2,107.811035,-0.049319,-0.096593,-0.003840,1
9.463000,153.316711,-89.961548,2,099.203369,-0.050536,-0.062691,0.004582,1
9.497000,153.137650,-89.958458,2,090.811768,-0.038465,-0.085410,-0.000508,1
9.530000,153.062515,-89.923904,2,082.467285,-0.035619,-0.073181,-0.003941,1
9.563000,152.903809,-90.054398,2,074.309326,-0.036703,-0.074612,-0.008390,1
9.597000,152.658310,-90.012184,2,066.239502,-0.041776,-0.052272,0.001474,1
9.630000,152.512665,-89.945808,2,057.769287,-0.046935,-0.112224,-0.008547,1
9.663000,152.390686,-90.087135,2,049.278809,-0.041872,-0.104193,-0.005203,1
9.697000,152.263321,-90.049614,2,040.964966,-0.044197,-0.148042,-0.004797,1
9.730000,152.252167,-90.040970,2,032.511475,-0.037923,-0.118745,-0.004481,1
9.763000,152.139297,-90.060829,2,024.144653,-0.038589,-0.164111,-0.008413,1
9.797000,151.948624,-90.031258,2,016.554688,-0.046228,-0.146489,-0.007088,1
9.830000,151.895905,-89.964706,2,010.001221,-0.038137,-0.127247,-0.008602,1
9.863000,151.912521,-90.020142,2,004.918701,-0.037298,-0.172609,-0.009601,1
9.897000,151.879333,-90.072456,2,001.628174,-0.027882,-0.188103,-0.007110,1
9.930000,151.838745,-90.066422,1,999.632935,-0.041725,-0.199876,-0.007053,1
9.963000,151.732056,-90.122299,1,998.940674,-0.038811,-0.160797,0.003563,1
9.997000,151.720245,-90.162132,1,999.165649,-0.046032,-0.291214,0.003571,1
10.030000,151.850510,-90.082771,1,999.483765,-0.023500,-0.716350,-0.007893,1
10.063000,152.143158,-90.103699,1,999.685547,-0.042774,-1.634076,-0.022186,1
10.096000,152.679153,-90.090927,1,999.514526,-0.118780,-3.629531,-0.097150,1
10.130000,153.418884,-90.088867,1,999.213623,-0.160309,-5.501719,-0.176059,1
10.163000,154.228775,-90.092781,1,998.954224,-0.140628,-7.300144,-0.191356,1
10.196000,155.091400,-90.060631,1,999.053101,-0.190521,-9.074525,-0.180783,1
10.230000,155.925064,-90.066170,1,999.336182,-0.198575,-11.030282,-0.183873,1
10.263000,156.718750,-90.067314,1,999.788086,-0.189641,-13.089698,-0.198145,1
10.296000,157.504562,-90.093773,1,999.984497,-0.134909,-15.658732,-0.253591,1
10.330000,158.322815,-90.106438,2,000.127686,-0.131551,-17.765373,-0.271194,1
10.363000,159.092682,-90.120834,2,000.195190,-0.130303,-19.677883,-0.293096,1
10.396000,159.745667,-90.153313,2,000.341309,-0.129819,-21.242577,-0.311659,1
10.430000,160.207718,-90.174133,2,000.604370,-0.128313,-22.446396,-0.326831,1
10.463000,160.431900,-90.144806,2,000.988647,-0.212043,-22.703590,-0.281421,1
10.496000,160.521667,-90.134422,2,001.161865,-0.223786,-23.163027,-0.282532,1
10.530000,160.523819,-90.128586,2,001.227661,-0.226668,-23.298059,-0.281921,1
10.563000,160.417511,-90.181160,2,001.232788,-0.224206,-23.102713,-0.278281,1
10.596000,160.242767,-90.209839,2,001.095093,-0.222534,-22.513647,-0.270923,1
10.630000,159.992691,-90.229729,2,000.651123,-0.125829,-22.137978,-0.320202,1
10.663000,159.507263,-90.230270,2,000.340576,-0.134349,-20.806232,-0.299345,1
10.696000,158.877060,-90.198219,2,000.104736,-0.124433,-19.134636,-0.281965,1
10.730000,158.085175,-90.191399,1,999.952393,-0.131566,-17.141174,-0.260593,1
10.763000,157.211594,-90.145958,1,999.959351,-0.192872,-14.548622,-0.201390,1
10.796000,156.389267,-90.119209,1,999.687012,-0.090711,-12.872993,-0.212996,1
10.830000,155.520294,-90.126640,1,999.528687,-0.187483,-10.422345,-0.179759,1
